AID Class FRENCH GERMAN LATIN SPANISH BOOK COMPUTER DEBATE DRAMA FUTURE HISTORY MATH SCIENCE BAND CHEER CHORUS ORCHESTRA OTHER BASE BASKETBALL FIELD FOOTBALL ICE SOCCER SWIMMING TENNIS TRACK VOLLEYBALL WRESTLING OTHER NEWSPAPER HONOR STUDENT YEARBOOK AH_PVT REACH3 age grade male PovertyPct CollegePct ReligiousPct MedianIncome w1drinkfrq w1drinkfive w1drunk w2drinkfrq w2drinkfive w2drunk w2anyalc w2alcoutsidefam pardrinkfrq pardrinkfive religionimp tobacco cycling sports hangout w1anyalc w1alcoutsidefam w1numdrinks w2numdrinks w1alcprobfrnd w2alcprobfrnd hourstv troublefocus momwarm momcommunicate dadwarm dadcommunicate familyunderstnd closetomom closetodad momdiscethic familyfun momtalk momdiscprob momargue momshop momsport mommovie gotochurch close_school part_school happy_school frndactiv gpa schoolfit white black hispanic centrality localdensity prestige w1psych w2psych w1alctrt w2alctrt clubs cesd
95715938 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 82 0 14 7 1 0.145695364 0.142480211 0.555 29097 0 0 0 0 0 0 0 0 1 1 2 0 0 1 2 0 0 0 0 0 0 20 1 2 2 3 3 5 5 3 2 3 0 0 0 0 0 1 1 2 1 1 4 2 1.333333333 0 1 0 0 0.333333333 0.220628792 0 0 0 0 1 0.473684211
95715939 126 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 126 25 13 7 0 0.021857924 0.159776536 0.555 30183 0 0 0 0 0 0 0 0 3 1 1 1 1 2 1 0 0 0 0 0 0 3 0 1 3 2 3 3 5 5 1 4 1 1 1 1 0 1 1 3 2 3 7 1.5 2.666666667 1 0 0 0.889865773 0.285714286 0.216686675 1 1 0 0 3 0.894736842
96715931 126 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 91 0 13 7 1 0 0.273381295 0.555 23777 0 0 0 0 0 0 0 0 1 1 1 1 1 3 3 0 0 0 0 0 0 13 0 1 1 1 1 3 5 5 1 5 1 1 1 0 0 1 2 5 5 3 12 2 4.333333333 1 0 0 0 99 99 0 0 0 0 2 0.789473684
96715932 126 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 101 14 13 7 1 0.074561404 0.157667387 0.591 32460 0 0 0 1 0 0 1 1 2 1 2 0 3 3 0 0 0 0 3 0 0 20 1 1 1 3 3 5 5 3 1 2 0 1 0 1 0 0 2 2 2 4 9 1.75 2.666666667 1 0 1 0.336125526 0.333333333 99 0 1 0 0 3 0.736842105
96715933 126 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 86 0 14 7 0 0.494791667 0 0.555 15214 0 0 0 99 99 99 99 99 1 1 1 0 1 2 3 0 0 0 99 0 99 40 2 1 2 3 3 2 5 3 1 3 1 1 1 1 0 1 1 2 1 4 7 2.25 2.333333333 1 0 0 0 0.25 0.320008416 0 99 0 99 2 0.789473684
96715934 126 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 84 25 14 7 1 0 0.128272251 0.555 24531 0 0 0 0 0 0 0 0 2 1 1 0 3 2 3 0 0 0 0 0 0 10 0 1 1 1 1 5 5 5 1 5 1 1 1 1 0 1 1 2 1 2 12 3 1.666666667 0 0 1 0.365993438 0.2 0.258503401 0 0 0 0 8 0.210526316
96715936 126 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 94 34 13 7 0 0.231527094 0.146953405 0.555 20078 0 0 0 0 0 0 0 0 6 1 2 0 1 1 2 0 0 0 0 0 0 24 0 1 1 2 2 3 5 5 1 4 0 0 0 1 1 1 2 3 2 3 7 1.5 2.666666667 0 1 0 1.29404894 0.322222222 0.26548998 0 0 0 0 3 0.052631579
96715938 126 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 129 22 13 9 1 0.062015504 0.24248927 0.555 31597 0 0 0 0 0 0 0 0 4 1 1 0 1 2 3 0 0 0 0 0 0 15 0 1 1 3 3 5 5 3 1 5 0 1 0 1 1 1 1 1 1 1 11 1 1 1 0 0 0.713865591 0.266666667 0.260791042 0 0 0 0 5 0.105263158
96715939 126 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 82 99 14 7 1 0.265306122 0.3 0.555 20000 0 0 0 99 99 99 99 99 1 1 1 0 2 3 2 0 0 0 99 0 99 5 2 1 1 2 1 1 5 5 1 2 1 1 0 1 0 0 1 2 1 2 8 3 1.666666667 0 0 1 99 99 99 0 99 0 99 99 0.947368421
99715931 126 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 106 32 13 8 1 0.021857924 0.159776536 0.555 30183 0 0 0 1 0 0 1 0 1 1 1 1 0 2 1 0 0 0 1 0 0 30 2 1 1 3 3 5 5 3 1 5 1 0 0 1 0 1 1 1 1 2 7 1.75 1.333333333 1 0 0 1.041733816 0.307692308 0.382719322 0 1 0 0 6 0.473684211
99715932 126 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 1 85 33 13 7 0 0.062015504 0.24248927 0.555 31597 0 0 0 2 0 1 1 0 1 1 2 0 0 2 2 0 0 0 3 0 1 7 0 1 3 2 3 4 5 5 1 5 0 1 0 1 0 0 1 1 1 2 7 1.5 1.333333333 1 0 1 1.544664589 0.381818182 0.306972789 0 1 0 0 7 0.157894737
99715933 126 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 95 99 14 8 0 0 0.516551193 0.555 46776 0 0 0 1 0 1 1 0 2 1 1 0 1 1 2 0 0 0 2 0 0 3 1 3 2 1 1 3 5 4 2 4 1 0 0 1 0 0 1 1 1 1 5 1 1 1 0 0 99 99 99 0 0 0 0 99 0.473684211
99715934 126 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 102 29 13 7 0 0.021857924 0.159776536 0.555 30183 0 0 0 0 0 0 0 0 1 1 1 0 1 2 3 0 0 0 0 0 0 21 0 1 1 1 1 4 5 5 1 5 1 1 1 1 1 1 2 1 1 1 11 1.75 1 1 0 0 0.890912498 0.357142857 0.216686675 0 0 0 0 4 0.210526316
99715935 126 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 105 30 14 8 0 0.082568807 0.064638783 0.555 33779.15 1 1 1 0 0 0 1 0 2 1 1 1 0 1 3 1 1 2 0 1 0 35 1 4 4 2 2 3 4 4 2 2 0 0 1 1 0 1 1 2 4 4 7 3 3.333333333 0 0 1 1.06391307 0.366666667 0.331116716 1 0 0 0 2 0.578947368
99715936 126 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 118 0 13 8 0 0 0.35399449 0.555 36538 0 0 0 5 0 0 1 1 2 1 1 0 0 0 3 0 0 0 4 0 0 21 1 1 1 3 3 5 5 3 1 5 0 1 0 1 0 0 1 2 1 1 7 2.75 1.333333333 1 0 0 0 0.583333333 0.229931973 0 0 0 0 6 0.210526316
99715937 126 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 82 34 12 7 0 0.43236715 0.080717489 0.555 14167 0 0 0 0 0 0 0 0 1 1 2 1 0 1 2 0 0 0 0 0 0 24 1 1 1 3 3 4 5 3 2 5 0 0 0 1 1 0 1 3 2 3 6 2.5 2.666666667 0 0 1 1.698329117 0.327272727 0.316875137 0 0 0 0 7 0.789473684
99715938 126 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 129 0 13 7 1 0.021857924 0.159776536 0.555 30183 6 6 6 6 6 6 1 1 2 1 1 1 3 3 3 1 1 99 54 4 0 30 0 1 2 1 1 5 5 5 2 5 1 1 0 1 0 1 1 1 1 1 15 1 1 1 0 0 0 0.258241758 0.403601441 0 0 0 0 33 0.105263158
99715939 126 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 91 30 13 7 0 0.299516908 0.081967213 0.555 18311 0 0 0 0 0 0 0 0 2 2 1 0 0 0 2 0 0 0 0 0 0 9 1 2 1 2 2 4 5 5 2 5 0 0 0 1 0 1 1 2 1 1 4 1.75 1.333333333 0 1 0 1.654477554 0.325757576 0.331116716 0 0 0 0 2 0.52631579
